"variable","GEOID","NAME","estimate","moe","label","concept"
"B05002_001","01","Alabama",4997675,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","31","Nebraska",1951480,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","50","Vermont",641637,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","72","Puerto Rico",3311274,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","44","Rhode Island",1091949,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","30","Montana",1077978,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","29","Missouri",6141534,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","17","Illinois",12821813,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","13","Georgia",10625615,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","42","Pennsylvania",12970650,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","18","Indiana",6751340,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","46","South Dakota",881785,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","56","Wyoming",576641,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","12","Florida",21339762,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","45","South Carolina",5078903,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","16","Idaho",1811617,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","15","Hawaii",1453498,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","51","Virginia",8582479,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","55","Wisconsin",5871661,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","02","Alaska",735951,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","32","Nevada",3059238,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","26","Michigan",10062512,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","11","District of Columbia",683154,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","28","Mississippi",2967023,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","27","Minnesota",5670472,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","19","Iowa",3179090,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","47","Tennessee",6859497,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","54","West Virginia",1801049,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","39","Ohio",11769923,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","38","North Dakota",773344,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","25","Massachusetts",6991852,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","33","New Hampshire",1372175,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","53","Washington",7617364,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","41","Oregon",4207177,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","04","Arizona",7079203,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","24","Maryland",6148545,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","20","Kansas",2932099,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","48","Texas",28862581,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","37","North Carolina",10367022,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","36","New York",20114745,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","10","Delaware",981892,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","05","Arkansas",3006309,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","40","Oklahoma",3948136,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","49","Utah",3231370,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","23","Maine",1357046,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","09","Connecticut",3605330,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","34","New Jersey",9234024,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","21","Kentucky",4494141,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"B05002_001","35","New Mexico",2109366,NA,"Estimate!!Total:","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
