"variable","GEOID","NAME","estimate","moe","label","concept"
"B23025_001","01","Alabama",4005499,1780,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","04","Arizona",5650624,2102,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","09","Connecticut",2954661,1382,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","39","Ohio",9449482,2215,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","16","Idaho",1405245,1187,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","22","Louisiana",3679521,1956,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","24","Maryland",4931565,2050,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","02","Alaska",572165,495,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","05","Arkansas",2382255,1257,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","10","Delaware",798798,779,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","40","Oklahoma",3094226,1213,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","17","Illinois",10275978,2858,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","23","Maine",1134793,663,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","25","Massachusetts",5773906,1782,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","27","Minnesota",4495952,1624,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","06","California",31499704,4287,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","11","District of Columbia",568405,559,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","41","Oregon",3434262,1459,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","18","Indiana",5343229,2139,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","20","Kansas",2299477,1221,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","26","Michigan",8136493,2044,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","28","Mississippi",2344417,1377,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","08","Colorado",4606399,1807,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
"B23025_001","12","Florida",17577024,3962,"Estimate!!Total:","EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER"
