"variable","GEOID","NAME","estimate","moe","label","concept"
"B05003_001","01","Alabama",4997675,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","26","Michigan",10062512,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","29","Missouri",6141534,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","31","Nebraska",1951480,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","32","Nevada",3059238,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","09","Connecticut",3605330,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","38","North Dakota",773344,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","12","Florida",21339762,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","41","Oregon",4207177,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","19","Iowa",3179090,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","48","Texas",28862581,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","22","Louisiana",4657305,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","51","Virginia",8582479,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","25","Massachusetts",6991852,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","28","Mississippi",2967023,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","55","Wisconsin",5871661,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","30","Montana",1077978,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","08","Colorado",5723176,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"B05003_001","34","New Jersey",9234024,NA,"Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
