"variable","GEOID","NAME","estimate","moe","label","concept"
"B19122_001","01","Alabama",1239981,6765,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","11","District of Columbia",131196,2401,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","05","Arkansas",759077,4330,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","15","Hawaii",330912,2411,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","09","Connecticut",910006,4417,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","02","Alaska",170981,1725,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","12","Florida",5274491,19898,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","06","California",9060746,23677,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","16","Idaho",448970,4293,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","10","Delaware",248034,2814,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","04","Arizona",1747769,8111,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","13","Georgia",2592437,11679,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","08","Colorado",1408477,5952,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","17","Illinois",3131678,10015,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","25","Massachusetts",1711692,7411,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","20","Kansas",732385,4052,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","28","Mississippi",732575,5635,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","23","Maine",348606,2817,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","18","Indiana",1688696,7128,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","26","Michigan",2522202,8166,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","21","Kentucky",1134358,5054,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","29","Missouri",1541667,6956,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","24","Maryland",1516689,6232,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","19","Iowa",799902,3935,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
"B19122_001","27","Minnesota",1415231,5314,"Estimate!!Total:","NUMBER OF EARNERS IN FAMILY"
