"variable","GEOID","NAME","estimate","moe","label","concept"
"B29004_001","01","Alabama",55279,382,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","02","Alaska",80841,1123,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","04","Arizona",67343,405,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","05","Arkansas",52155,471,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","06","California",87941,246,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","08","Colorado",81494,454,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","09","Connecticut",85091,595,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","10","Delaware",73129,1160,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","11","District of Columbia",94776,1757,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","12","Florida",63180,248,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","13","Georgia",65529,362,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","15","Hawaii",89469,852,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","16","Idaho",63961,613,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","17","Illinois",73604,310,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","18","Indiana",62422,303,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","19","Iowa",65903,374,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","20","Kansas",65227,364,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","21","Kentucky",55689,403,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","22","Louisiana",53837,379,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","23","Maine",63274,672,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","24","Maryland",92879,558,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","25","Massachusetts",90756,525,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","26","Michigan",63114,245,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","27","Minnesota",78437,346,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","28","Mississippi",49231,451,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","29","Missouri",61277,315,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
"B29004_001","30","Montana",60691,736,"Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2021 INFLATION-ADJUSTED DOLLARS)"
